key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_KINGZF102_05156_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整<hex:0249020103><hex:0248020103><hex:02100103>終流地的堯帕一臉擔心地望著遠方。"
1,"TEXT_KINGZF102_05156_SEQ_01",""
2,"TEXT_KINGZF102_05156_SEQ_02",""
3,"TEXT_KINGZF102_05156_SEQ_03",""
4,"TEXT_KINGZF102_05156_SEQ_04",""
5,"TEXT_KINGZF102_05156_SEQ_05",""
6,"TEXT_KINGZF102_05156_SEQ_06",""
7,"TEXT_KINGZF102_05156_SEQ_07",""
8,"TEXT_KINGZF102_05156_SEQ_08",""
9,"TEXT_KINGZF102_05156_SEQ_09",""
10,"TEXT_KINGZF102_05156_SEQ_10",""
11,"TEXT_KINGZF102_05156_SEQ_11",""
12,"TEXT_KINGZF102_05156_SEQ_12",""
13,"TEXT_KINGZF102_05156_SEQ_13",""
14,"TEXT_KINGZF102_05156_SEQ_14",""
15,"TEXT_KINGZF102_05156_SEQ_15",""
16,"TEXT_KINGZF102_05156_SEQ_16",""
17,"TEXT_KINGZF102_05156_SEQ_17",""
18,"TEXT_KINGZF102_05156_SEQ_18",""
19,"TEXT_KINGZF102_05156_SEQ_19",""
20,"TEXT_KINGZF102_05156_SEQ_20",""
21,"TEXT_KINGZF102_05156_SEQ_21",""
22,"TEXT_KINGZF102_05156_SEQ_22",""
23,"TEXT_KINGZF102_05156_SEQ_23",""
24,"TEXT_KINGZF102_05156_TODO_00","尋找研究者裝扮的男性"
25,"TEXT_KINGZF102_05156_TODO_01","護送研究者裝扮的男性和堯帕對話"
26,"TEXT_KINGZF102_05156_TODO_02","再次和堯帕對話"
27,"TEXT_KINGZF102_05156_TODO_03",""
28,"TEXT_KINGZF102_05156_TODO_04",""
29,"TEXT_KINGZF102_05156_TODO_05",""
30,"TEXT_KINGZF102_05156_TODO_06",""
31,"TEXT_KINGZF102_05156_TODO_07",""
32,"TEXT_KINGZF102_05156_TODO_08",""
33,"TEXT_KINGZF102_05156_TODO_09",""
34,"TEXT_KINGZF102_05156_TODO_10",""
35,"TEXT_KINGZF102_05156_TODO_11",""
36,"TEXT_KINGZF102_05156_TODO_12",""
37,"TEXT_KINGZF102_05156_TODO_13",""
38,"TEXT_KINGZF102_05156_TODO_14",""
39,"TEXT_KINGZF102_05156_TODO_15",""
40,"TEXT_KINGZF102_05156_TODO_16",""
41,"TEXT_KINGZF102_05156_TODO_17",""
42,"TEXT_KINGZF102_05156_TODO_18",""
43,"TEXT_KINGZF102_05156_TODO_19",""
44,"TEXT_KINGZF102_05156_TODO_20",""
45,"TEXT_KINGZF102_05156_TODO_21",""
46,"TEXT_KINGZF102_05156_TODO_22",""
47,"TEXT_KINGZF102_05156_TODO_23",""
48,"TEXT_KINGZF102_05156_YYOPYA_000_000","可以打擾一下嗎？<hex:02100103>如果你接下來有事要去前面的話，<hex:02100103>能請你順便幫我個忙嗎？"
49,"TEXT_KINGZF102_05156_YYOPYA_000_001","我的朋友離開這裡之後就再也沒回來。<hex:02100103>他應該是去調查遺產之地的植被了，<hex:02100103>那個人一旦觀察起植物就會變得廢寢忘食的……"
50,"TEXT_KINGZF102_05156_YYOPYA_000_002","請你前往東南邊，如果找到了研究者裝扮的男性，<hex:02100103>就去和他打個招呼吧。"
51,"TEXT_KINGZF102_05156_YYOPYA_000_003","請你前往東南邊，如果找到了研究者裝扮的男性，<hex:02100103>就去和他打個招呼吧。"
52,"TEXT_KINGZF102_05156_RESEARCHER05156_000_004","哦……這個多肉植物真是有意思……<hex:02100103>能看得出在生長過程中發生了一些扭曲的變形……<hex:02100103>嗯……這是不是它在努力讓自身適應環境變化的證明呢？"
53,"TEXT_KINGZF102_05156_RESEARCHER05156_000_005","啊！你是……<hex:02100103>而且這個地方……糟了！<hex:02100103>觀察得太入迷一不小心就進入了危險區域。"
54,"TEXT_KINGZF102_05156_RESEARCHER05156_000_006","多虧你向我打了招呼，救了我一命！<hex:02100103>不好意思，可以再麻煩你把我護送到安全的地方嗎？"
55,"TEXT_KINGZF102_05156_RESEARCHER05156_000_007","我的朋友堯帕想必此刻也很擔心，<hex:02100103>請你帶我去終流地找她吧！"
56,"TEXT_KINGZF102_05156_SYSTEM_000_008","現在開始護送研究者裝扮的男性。<hex:02100103>研究者裝扮的男性和冒險者走散後就會回到開始地點。<hex:02100103>再次和研究者裝扮的男性對話後，即可繼續護送。"
57,"TEXT_KINGZF102_05156_BALLOON_000_009","護送一事就拜託你了！"
58,"TEXT_KINGZF102_05156_BALLOON_000_010","嗚哇……"
59,"TEXT_KINGZF102_05156_RESIDENTS04257_000_011","就麻煩你把我護送到堯帕那裡去了！<hex:02100103>那我們出發吧！"
60,"TEXT_KINGZF102_05156_YYOPYA_000_012","哦，你回來啦。<hex:02100103>找到去觀察植物的那個人了嗎？"
61,"TEXT_KINGZF102_05156_SYSTEM_000_013","和研究者裝扮的男性走散了，因此無法完成目標。<hex:02100103>和回到東南邊的研究者裝扮的男性對話，<hex:02100103>再一次將其護送至此地。"
62,"TEXT_KINGZF102_05156_YYOPYA_000_014","哦，你回來啦。<hex:02100103>找到去觀察植物的那個人了嗎？"
63,"TEXT_KINGZF102_05156_SYSTEM_000_015","研究者裝扮的男性還沒過來。<hex:02100103>迎接並將其護送至此地。"
64,"TEXT_KINGZF102_05156_YYOPYA_000_016","你們回來啦。<hex:02100103>看樣子都平安無事，太好了。"
65,"TEXT_KINGZF102_05156_RESEARCHER05156_000_017","哎呀，抱歉讓你擔心了！<hex:02100103>多虧了<hex:02080DE905FF04>她<hex:FF04>他<hex:03>跟我搭話，<hex:02100103>不然的話我還正在危險區域觀察植物而不自知呢！"
66,"TEXT_KINGZF102_05156_RESEARCHER05156_000_018","那麼接下來我就去整理一下觀察記錄吧！<hex:02100103>各位，我先告辭了！"
67,"TEXT_KINGZF102_05156_YYOPYA_000_019","30年前，這裡的環境發生了巨大的變化，<hex:02100103>圖拉爾大陸的原產植物滅絕了大半……<hex:02100103>而倖存下來的品種為了適應環境也不得不做出改變。"
68,"TEXT_KINGZF102_05156_YYOPYA_000_020","他是出生在塔裡的人，<hex:02100103>這類植物對於土生土長的亞歷山德里亞人來說還是挺稀奇的。"
69,"TEXT_KINGZF102_05156_YYOPYA_000_021","儘管如此，畢竟與塔裡不同，那裡是很危險的地方，<hex:02100103>所以我還是希望他可以稍微重視一下自己的安全問題。"
70,"TEXT_KINGZF102_05156_YYOPYA_000_022","總之這次你能把他找回來真是幫大忙了。<hex:02100103>甚至還負責擔當護衛，真的非常感謝。"
71,"TEXT_KINGZF102_05156_REFORGERS05156_000_000",""
72,"TEXT_KINGZF102_05156_REFORGERS05156_000_001",""
73,"TEXT_KINGZF102_05156_REFORGERS05156_000_002",""
74,"TEXT_KINGZF102_05156_REFORGERS05156_000_003",""
